,Name,IP,H,H2,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,WPA,aLI,RE24,GameDate,interceptRow,ageGap,ages,targets
64837,gallayo01,7.0,6,6,0,0,2,5,0,0.64,29,117,70,46,7,17,10,13,5,0,68,0.443,1.59,3.5,2008-04-25,1.0,1986-02-27,6992,1.0
22836,garcifr03,6.2,8,8,4,4,1,3,1,4.65,30,104,73,45,9,19,8,16,5,0,44,0.051,0.97,-0.1,2006-09-24,1.0,1976-10-06,9456,1.0
88464,garcifr03,5.1,9,9,7,6,2,5,2,5.11,25,98,64,42,6,16,6,12,3,0,27,-0.398,0.93,-2.9,2007-06-03,1.0,1976-10-06,9674,1.0
104641,gardnma01,1.2,6,6,4,4,0,1,0,5.74,11,43,29,17,4,8,4,6,4,0,28,-0.288,1.17,-3.2,2001-07-01,1.0,1962-03-01,12413,1.0
13365,garzama01,5.1,6,6,5,5,2,3,2,8.44,23,87,53,33,7,13,10,8,3,0,37,-0.218,1.15,-2.1,2008-04-02,1.0,1983-11-26,7684,1.0
35373,gassnda01,6.0,3,3,2,1,1,1,1,1.5,22,72,48,32,3,13,7,13,4,0,60,0.076,0.71,1.0,2005-04-16,1.0,1978-12-14,8311,1.0
75795,gieseda01,4.0,5,5,6,6,4,3,1,3.5,21,96,57,33,7,17,5,9,3,0,27,-0.317,1.18,-2.7,2008-06-27,1.0,1977-05-19,9816,1.0
35954,gintema01,4.0,8,8,4,4,1,3,1,4.2,20,77,50,35,4,11,8,8,3,0,32,-0.19,1.01,-1.9,2008-07-29,1.0,1977-12-24,9655,1.0
39651,glavito02,6.1,3,3,0,0,3,3,0,0.79,24,88,52,25,7,20,9,9,3,0,67,0.404,1.2,3.3,2008-04-07,1.0,1966-03-25,13265,1.0
31639,glavito02,6.0,5,5,2,2,2,5,0,4.56,24,95,62,32,11,19,11,6,1,0,57,-0.008,1.05,1.1,2008-05-30,1.0,1966-03-25,13311,1.0
27355,glavito02,3.0,6,6,4,4,4,0,1,4.85,18,72,38,22,2,14,7,7,4,0,27,-0.258,1.54,-2.4,2008-06-10,1.0,1966-03-25,13321,1.0
64481,glovega01,6.0,5,5,3,3,2,8,0,6.47,26,105,70,34,22,14,12,4,2,0,56,0.04,0.79,0.0,2005-09-24,1.0,1976-12-03,9091,1.0
12284,glynnry01,6.2,7,7,3,2,4,1,0,6.17,31,112,65,38,3,24,7,19,12,0,47,-0.059,0.85,0.4,2001-05-27,1.0,1974-11-01,8384,1.0
55238,gobblji01,4.0,6,6,4,4,2,3,0,4.88,22,90,51,30,6,15,6,10,5,0,35,-0.281,1.19,-2.4,2006-07-20,1.0,1981-07-19,7890,1.0
4849,gonzaed01,2.2,8,8,6,6,2,2,0,6.55,17,72,45,29,3,13,5,8,5,0,18,-0.43,1.05,-4.7,2008-04-29,1.0,1983-02-23,7946,1.0
121028,goodan01,3.2,8,8,7,6,1,0,2,5.0,21,73,43,32,3,8,7,12,4,0,18,-0.252,0.9,-3.9,2004-06-12,1.0,1979-09-19,7804,1.0
15982,gordoto01,6.0,6,6,2,2,1,4,0,3.64,25,96,63,35,12,16,12,8,5,0,55,0.147,1.18,1.4,1997-08-10,1.0,1967-11-18,9381,1.0
50994,gorzeto01,6.0,5,5,2,2,5,6,0,4.19,27,112,64,40,9,15,10,7,1,0,55,0.065,1.07,1.2,2006-08-10,1.0,1982-07-12,7598,1.0
30898,graveda01,7.0,8,8,3,3,3,4,2,5.18,31,93,63,46,5,12,7,17,7,0,50,0.008,1.27,0.4,2003-08-15,1.0,1973-08-07,9473,1.0
72126,grimsja01,5.0,3,3,1,1,3,3,1,2.36,20,77,46,27,6,13,8,6,1,0,57,0.204,1.15,1.9,2000-06-06,1.0,1967-08-07,10361,1.0
